Transaction ID,Date,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,Male,34,Middle Age,Beauty,3,50,150
2,2023-02-27,Female,26,Adolescent,Clothing,2,500,1000
3,2023-01-13,Male,50,Middle Age,Electronics,1,30,30
4,2023-05-21,Male,37,Middle Age,Clothing,1,500,500
5,2023-05-06,Male,30,Adolescent,Beauty,2,50,100
6,2023-04-25,Female,45,Middle Age,Beauty,1,30,30
7,2023-03-13,Male,46,Middle Age,Clothing,2,25,50
8,2023-02-22,Male,30,Adolescent,Electronics,4,25,100
9,2023-12-13,Male,63,Old,Electronics,2,300,600
10,2023-10-07,Female,52,Middle Age,Clothing,4,50,200
11,2023-02-14,Male,23,Adolescent,Clothing,2,50,100
12,2023-10-30,Male,35,Middle Age,Beauty,3,25,75
13,2023-08-05,Male,22,Adolescent,Electronics,3,500,1500
14,2023-01-17,Male,64,Old,Clothing,4,30,120
15,2023-01-16,Female,42,Middle Age,Electronics,4,500,2000
16,2023-02-17,Male,19,Adolescent,Clothing,3,500,1500
17,2023-04-22,Female,27,Adolescent,Clothing,4,25,100
18,2023-04-30,Female,47,Middle Age,Electronics,2,25,50
19,2023-09-16,Female,62,Old,Clothing,2,25,50
20,2023-11-05,Male,22,Adolescent,Clothing,3,300,900
21,2023-01-14,Female,50,Middle Age,Beauty,1,500,500
22,2023-10-15,Male,18,Adolescent,Clothing,2,50,100
23,2023-04-12,Female,35,Middle Age,Clothing,4,30,120
24,2023-11-29,Female,49,Middle Age,Clothing,1,300,300
25,2023-12-26,Female,64,Old,Beauty,1,50,50
26,2023-10-07,Female,28,Adolescent,Electronics,2,500,1000
27,2023-08-03,Female,38,Middle Age,Beauty,2,25,50
28,2023-04-23,Female,43,Middle Age,Beauty,1,500,500
29,2023-08-18,Female,42,Middle Age,Electronics,1,30,30
30,2023-10-29,Female,39,Middle Age,Beauty,3,300,900
31,2023-05-23,Male,44,Middle Age,Electronics,4,300,1200
32,2023-01-04,Male,30,Adolescent,Beauty,3,30,90
33,2023-03-23,Female,50,Middle Age,Electronics,2,50,100
34,2023-12-24,Female,51,Middle Age,Clothing,3,50,150
35,2023-08-05,Female,58,Old,Beauty,3,300,900
36,2023-06-24,Male,52,Middle Age,Beauty,3,300,900
37,2023-05-23,Female,18,Adolescent,Beauty,3,25,75
38,2023-03-21,Male,38,Middle Age,Beauty,4,50,200
39,2023-04-21,Male,23,Adolescent,Clothing,4,30,120
40,2023-06-22,Male,45,Middle Age,Beauty,1,50,50
41,2023-02-22,Male,34,Middle Age,Clothing,2,25,50
42,2023-02-17,Male,22,Adolescent,Clothing,3,300,900
43,2023-07-14,Female,48,Middle Age,Clothing,1,300,300
44,2023-02-19,Female,22,Adolescent,Clothing,1,25,25
45,2023-07-03,Female,55,Old,Electronics,1,30,30
46,2023-06-26,Female,20,Adolescent,Electronics,4,300,1200
47,2023-11-06,Female,40,Middle Age,Beauty,3,500,1500
48,2023-05-16,Male,54,Middle Age,Electronics,3,300,900
49,2023-01-23,Female,54,Middle Age,Electronics,2,500,1000
50,2023-08-24,Female,27,Adolescent,Beauty,3,25,75
51,2023-10-02,Male,27,Adolescent,Beauty,3,25,75
52,2023-03-05,Female,36,Middle Age,Beauty,1,300,300
53,2023-07-13,Male,34,Middle Age,Electronics,2,50,100
54,2023-02-10,Female,38,Middle Age,Electronics,3,500,1500
55,2023-10-10,Male,31,Adolescent,Beauty,4,30,120
56,2023-05-31,Female,26,Adolescent,Clothing,3,300,900
57,2023-11-18,Female,63,Old,Beauty,1,30,30
58,2023-11-13,Male,18,Adolescent,Clothing,4,300,1200
59,2023-07-05,Male,62,Old,Clothing,1,50,50
60,2023-10-23,Male,30,Adolescent,Beauty,3,50,150
61,2023-04-09,Male,21,Adolescent,Beauty,4,50,200
62,2023-12-27,Male,18,Adolescent,Beauty,2,50,100
63,2023-02-05,Male,57,Old,Electronics,2,25,50
64,2023-01-24,Male,49,Middle Age,Clothing,4,25,100
65,2023-12-05,Male,51,Middle Age,Electronics,4,500,2000
66,2023-04-27,Female,45,Middle Age,Electronics,1,30,30
67,2023-05-29,Female,48,Middle Age,Beauty,4,300,1200
68,2023-02-10,Male,25,Adolescent,Electronics,1,300,300
69,2023-04-30,Female,56,Old,Beauty,3,25,75
70,2023-02-21,Female,43,Middle Age,Clothing,1,300,300
71,2023-07-14,Female,51,Middle Age,Beauty,4,25,100
72,2023-05-23,Female,20,Adolescent,Electronics,4,500,2000
73,2023-08-21,Male,29,Adolescent,Electronics,3,30,90
74,2023-11-22,Female,18,Adolescent,Beauty,4,500,2000
75,2023-07-06,Male,61,Old,Beauty,4,50,200
76,2023-03-25,Female,22,Adolescent,Electronics,2,50,100
77,2023-07-09,Female,47,Middle Age,Clothing,2,50,100
78,2023-07-01,Female,47,Middle Age,Clothing,3,500,1500
79,2023-04-18,Male,34,Middle Age,Beauty,1,300,300
80,2023-12-10,Female,64,Old,Clothing,2,30,60
81,2023-05-17,Male,40,Middle Age,Electronics,1,50,50
82,2023-12-26,Female,32,Middle Age,Beauty,4,50,200
83,2023-12-16,Male,54,Middle Age,Electronics,2,50,100
84,2023-11-28,Female,38,Middle Age,Electronics,3,30,90
85,2023-02-06,Male,31,Adolescent,Clothing,3,50,150
86,2023-11-08,Male,19,Adolescent,Beauty,3,30,90
87,2023-11-22,Female,28,Adolescent,Beauty,2,50,100
88,2023-03-29,Male,56,Old,Clothing,1,500,500
89,2023-10-01,Female,55,Old,Electronics,4,500,2000
90,2023-05-06,Female,51,Middle Age,Electronics,1,30,30
91,2023-03-25,Female,55,Old,Electronics,1,500,500
92,2023-08-25,Female,51,Middle Age,Electronics,4,30,120
93,2023-07-14,Female,35,Middle Age,Beauty,4,500,2000
94,2023-05-19,Female,47,Middle Age,Beauty,2,500,1000
95,2023-11-24,Female,32,Middle Age,Clothing,2,30,60
96,2023-12-19,Female,44,Middle Age,Clothing,2,300,600
97,2023-10-13,Female,51,Middle Age,Beauty,2,500,1000
98,2023-04-23,Female,55,Old,Beauty,2,50,100
99,2023-12-17,Female,50,Middle Age,Electronics,4,300,1200
100,2023-06-16,Male,41,Middle Age,Electronics,1,30,30
101,2023-01-29,Male,32,Middle Age,Clothing,2,300,600
102,2023-04-28,Female,47,Middle Age,Beauty,2,25,50
103,2023-01-17,Female,59,Old,Clothing,1,25,25
104,2023-06-11,Female,34,Middle Age,Beauty,2,500,1000
105,2023-07-25,Female,22,Adolescent,Electronics,1,500,500
106,2023-05-18,Female,46,Middle Age,Clothing,1,50,50
